,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Threshold
GeoKG Only,0.8939 ± 0.0386,0.7117 ± 0.0542,0.7255 ± 0.2270,0.7066 ± 0.1484,0.8959 ± 0.0796,0.6814 ± 0.1493,0.6511 ± 0.1640,0.3763 ± 0.0806
GO Terms Only,0.9621 ± 0.0193,0.8763 ± 0.0551,0.9412 ± 0.0832,0.9049 ± 0.0507,0.9798 ± 0.0059,0.8849 ± 0.0289,0.8844 ± 0.0620,0.5559 ± 0.0747
Concatenated (Full),0.9773 ± 0.0245,0.9148 ± 0.0843,0.9804 ± 0.0277,0.9454 ± 0.0582,0.9845 ± 0.0154,0.9040 ± 0.0957,0.9328 ± 0.0716,0.5458 ± 0.0581
Full Model,0.9697 ± 0.0283,0.9359 ± 0.0546,0.9020 ± 0.1000,0.9179 ± 0.0783,0.9859 ± 0.0122,0.9128 ± 0.0717,0.9001 ± 0.0945,0.6508 ± 0.0209
Without MLP,0.5530 ± 0.1578,0.2799 ± 0.0860,0.6078 ± 0.1818,0.3506 ± 0.0253,0.5489 ± 0.0467,0.2914 ± 0.0937,0.1385 ± 0.0819,0.4373 ± 0.0336
Without GCN,0.9621 ± 0.0054,0.8907 ± 0.0340,0.9216 ± 0.0734,0.9027 ± 0.0197,0.9776 ± 0.0029,0.8631 ± 0.0415,0.8819 ± 0.0229,0.4983 ± 0.0479
Without SMOTE,0.8182 ± 0.0335,0.5759 ± 0.1442,0.4510 ± 0.0555,0.4922 ± 0.0357,0.6868 ± 0.0680,0.4885 ± 0.0707,0.3969 ± 0.0730,0.4000 ± 0.0589
Without SupCon,0.9508 ± 0.0386,0.8796 ± 0.1023,0.8627 ± 0.1109,0.8704 ± 0.1037,0.9718 ± 0.0233,0.8717 ± 0.0897,0.8406 ± 0.1275,0.5492 ± 0.0457
Without Focal Loss,0.9318 ± 0.0278,0.7606 ± 0.0972,0.9804 ± 0.0277,0.8517 ± 0.0505,0.9807 ± 0.0116,0.8831 ± 0.0827,0.8239 ± 0.0563,0.7492 ± 0.0505
Without Edge Dropout,0.9811 ± 0.0107,0.9444 ± 0.0454,0.9608 ± 0.0277,0.9518 ± 0.0265,0.9920 ± 0.0069,0.9370 ± 0.0678,0.9406 ± 0.0333,0.6136 ± 0.0374
Without Gated Fusion,0.9659 ± 0.0245,0.9216 ± 0.0734,0.9020 ± 0.0555,0.9115 ± 0.0633,0.9832 ± 0.0139,0.8972 ± 0.0845,0.8906 ± 0.0787,0.5356 ± 0.0288
2 GCN Layers,0.9659 ± 0.0093,0.8757 ± 0.0189,0.9608 ± 0.0555,0.9152 ± 0.0255,0.9729 ± 0.0088,0.8119 ± 0.0653,0.8963 ± 0.0322,0.4949 ± 0.0144
4 GCN Layers,0.9583 ± 0.0142,0.8669 ± 0.0685,0.9412 ± 0.0832,0.8971 ± 0.0335,0.9760 ± 0.0114,0.8617 ± 0.0563,0.8766 ± 0.0395,0.5458 ± 0.0925
8 GCN Layers,0.9508 ± 0.0386,0.8730 ± 0.0658,0.8627 ± 0.1544,0.8651 ± 0.1124,0.9707 ± 0.0175,0.8480 ± 0.0329,0.8371 ± 0.1335,0.5661 ± 0.0381
12 GCN Layers,0.9659 ± 0.0161,0.9052 ± 0.0508,0.9216 ± 0.0277,0.9132 ± 0.0396,0.9793 ± 0.0075,0.9174 ± 0.0380,0.8921 ± 0.0494,0.5627 ± 0.0918
16 GCN Layers,0.9583 ± 0.0351,0.9161 ± 0.0209,0.8627 ± 0.1941,0.8767 ± 0.1154,0.9762 ± 0.0184,0.8753 ± 0.0885,0.8609 ± 0.1248,0.5153 ± 0.0925
20 GCN Layers,0.9659 ± 0.0335,0.8816 ± 0.1025,0.9608 ± 0.0555,0.9184 ± 0.0794,0.9826 ± 0.0162,0.9153 ± 0.0709,0.8991 ± 0.0988,0.5017 ± 0.0374
