Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,MCC,Fold,Threshold
0.9444444444444444,0.7777777777777778,1.0,0.875,0.9704433497536945,0.8801587301587301,0.8509629433967631,1,0.39322033898305087
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0.6779661016949153
0.9714285714285714,0.8571428571428571,1.0,0.9230769230769231,0.9770114942528736,0.8734126984126983,0.909717652294684,3,0.5254237288135594
0.9714285714285714,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,0.8975274678557507,4,0.4847457627118644
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.5050847457627119
1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,6,0.4847457627118644
0.9428571428571428,0.7777777777777778,1.0,0.875,0.9540816326530612,0.8083900226757368,0.8498365855987975,7,0.464406779661017
0.9428571428571428,0.7777777777777778,1.0,0.875,0.9795918367346939,0.9325396825396823,0.8498365855987975,8,0.3728813559322034
0.9714285714285714,1.0,0.8571428571428571,0.9230769230769231,1.0,0.9999999999999998,0.909717652294684,9,0.6779661016949153
1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,10,0.49491525423728816
0.9744444444444443,0.919047619047619,0.9690476190476192,0.9380244755244755,0.9881128313394324,0.9494501133786848,0.9267598887039478,Mean,0.5081355932203391
0.024799523723675405,0.10699087790547594,0.06549422551040558,0.056336416085651854,0.016713297335063194,0.07156864796830127,0.06705837566549432,Std,0.09626700874201113
